gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	chr_hg19	tss_hg19
AL391427.1	ENSG00000224251	10	4995488	4997380	+	4995488	chr10	5037680
U8	ENSG00000239148	10	5004710	5004842	+	5004710	chr10	5046902
AKR1C3	ENSG00000196139	10	5035354	5107686	+	5035354	chr10	5077546
U8	ENSG00000239142	10	5093408	5093543	-	5093543	chr10	5135735
AKR1C5P	ENSG00000225418	10	5122087	5135226	-	5135226	chr10	5177418
AKR1C8P	ENSG00000264006	10	5154143	5185187	-	5185187	chr10	5227150
AKR1C4	ENSG00000198610	10	5195462	5218949	+	5195462	chr10	5237425
ARL4AP3	ENSG00000228291	10	5207169	5207742	+	5207169	chr10	5249132
AL355303.1	ENSG00000231039	10	5234358	5263408	+	5234358	chr10	5276321
LINC02561	ENSG00000224034	10	5266033	5271236	-	5271236	chr10	5313199
AKR1C7P	ENSG00000215267	10	5275173	5288470	-	5288470	chr10	5330433
RPL26P28	ENSG00000223987	10	5304431	5304865	-	5304865	chr10	5346828
AL683826.1	ENSG00000280450	10	5346651	5347277	+	5346651	chr10	5388614
UCN3	ENSG00000178473	10	5365009	5374692	+	5365009	chr10	5406972
TUBAL3	ENSG00000178462	10	5393098	5404830	-	5404830	chr10	5446793
NET1	ENSG00000173848	10	5412551	5458463	+	5412551	chr10	5454514
CALML5	ENSG00000178372	10	5498697	5499555	-	5499555	chr10	5541518
CALML3-AS1	ENSG00000205488	10	5514244	5526246	-	5526246	chr10	5568209
CALML3	ENSG00000178363	10	5524009	5526771	+	5524009	chr10	5565972
AL732437.1	ENSG00000256462	10	5524976	5525742	-	5525742	chr10	5567705
AL365356.5	ENSG00000242147	10	5594991	5596118	-	5596118	chr10	5638081
AL365356.4	ENSG00000231483	10	5608475	5610793	-	5610793	chr10	5652756
AL365356.3	ENSG00000228951	10	5616862	5618161	-	5618161	chr10	5660124
AL365356.2	ENSG00000228685	10	5624931	5625126	+	5624931	chr10	5666894
RN7SL445P	ENSG00000240577	10	5631463	5631755	+	5631463	chr10	5673426
ASB13	ENSG00000196372	10	5638867	5666595	-	5666595	chr10	5708558
FAM208B	ENSG00000108021	10	5684838	5763740	+	5684838	chr10	5726801
AL365356.1	ENSG00000226647	10	5712174	5744067	-	5744067	chr10	5786030
GDI2	ENSG00000057608	10	5765223	5842132	-	5842132	chr10	5884095
NRBF2P5	ENSG00000270427	10	5776071	5776858	+	5776071	chr10	5818034
AL596094.1	ENSG00000272764	10	5813985	5814441	+	5813985	chr10	5855948
ANKRD16	ENSG00000134461	10	5861617	5889906	-	5889906	chr10	5931869
RPL12P28	ENSG00000240180	10	5861805	5862594	-	5862594	chr10	5904557
FBXO18	ENSG00000134452	10	5890203	5937594	+	5890203	chr10	5932166
AL137186.2	ENSG00000232807	10	5934270	5945900	-	5945900	chr10	5987863
IL15RA	ENSG00000134470	10	5943639	5978187	-	5978187	chr10	6020150
IL2RA	ENSG00000134460	10	6010689	6062325	-	6062325	chr10	6104288
SNORA14	ENSG00000251922	10	6017054	6017194	-	6017194	chr10	6059157
AL137186.1	ENSG00000229664	10	6025978	6036427	+	6025978	chr10	6067941
RPL32P23	ENSG00000214015	10	6071514	6071918	-	6071918	chr10	6113881
RBM17	ENSG00000134453	10	6088987	6117457	+	6088987	chr10	6130950
PFKFB3	ENSG00000170525	10	6144934	6254644	+	6144934	chr10	6186897
RN7SKP78	ENSG00000201581	10	6149623	6149940	+	6149623	chr10	6191586
MIR3155A	ENSG00000263628	10	6152196	6152277	+	6152196	chr10	6194159
MIR3155B	ENSG00000283634	10	6152207	6152262	-	6152262	chr10	6194225
AL157395.1	ENSG00000213994	10	6197612	6202693	-	6202693	chr10	6244656
Y_RNA	ENSG00000238366	10	6245731	6245831	-	6245831	chr10	6287794
AL137145.2	ENSG00000215244	10	6277687	6335982	+	6277687	chr10	6319650
SDCBPP1	ENSG00000226705	10	6293100	6294684	-	6294684	chr10	6336647
AL137145.1	ENSG00000212743	10	6350316	6352762	+	6350316	chr10	6392278
PRKCQ	ENSG00000065675	10	6427143	6580301	-	6580301	chr10	6622263
PRKCQ-AS1	ENSG00000237943	10	6580419	6616452	+	6580419	chr10	6622381
AL158210.1	ENSG00000225948	10	6618716	6625346	+	6618716	chr10	6660678
LINP1	ENSG00000223784	10	6737382	6739026	+	6737382	chr10	6779344
LINC00706	ENSG00000281186	10	6774307	6779180	-	6779180	chr10	6821142
LINC00707	ENSG00000238266	10	6779598	6842906	+	6779598	chr10	6821560
AL392086.1	ENSG00000234248	10	6891457	6920472	-	6920472	chr10	6962434
AL590095.1	ENSG00000223581	10	7097152	7097675	+	7097152	chr10	7139114
AL590095.2	ENSG00000270811	10	7154120	7154236	+	7154120	chr10	7196082
SFMBT2	ENSG00000198879	10	7158624	7411486	-	7411486	chr10	7453448
COX6CP17	ENSG00000235141	10	7295106	7295290	-	7295290	chr10	7337252
AL139125.2	ENSG00000278982	10	7411599	7413467	+	7411599	chr10	7453561
AL139125.1	ENSG00000232591	10	7445558	7471942	-	7471942	chr10	7513904
RNU6-535P	ENSG00000207453	10	7486703	7486809	-	7486809	chr10	7528771
AL445070.1	ENSG00000230121	10	7533207	7536565	+	7533207	chr10	7575169
ITIH5	ENSG00000123243	10	7559270	7666998	-	7666998	chr10	7708961
ITIH2	ENSG00000151655	10	7703269	7749520	+	7703269	chr10	7745232
KIN	ENSG00000151657	10	7750962	7787981	-	7787981	chr10	7829944
ATP5C1	ENSG00000165629	10	7788129	7807815	+	7788129	chr10	7830092
TAF3	ENSG00000165632	10	7818504	8016627	+	7818504	chr10	7860467
AL353754.1	ENSG00000233990	10	7833618	7833957	-	7833957	chr10	7875920
GATA3-AS1	ENSG00000197308	10	8050450	8053484	-	8053484	chr10	8095447
AL390294.1	ENSG00000232638	10	8051541	8053084	+	8051541	chr10	8093504
GATA3	ENSG00000107485	10	8053604	8075198	+	8053604	chr10	8095567
PRPF38AP1	ENSG00000225053	10	8161260	8162192	+	8161260	chr10	8203223
LINC00708	ENSG00000232170	10	8259331	8268305	-	8268305	chr10	8310268
AL390835.1	ENSG00000226861	10	8298897	8301667	+	8298897	chr10	8340860
AC025946.1	ENSG00000226990	10	8400860	8461863	+	8400860	chr10	8442823
AC025946.2	ENSG00000271251	10	8472719	8472952	+	8472719	chr10	8514682
KRT8P37	ENSG00000213771	10	8513687	8515106	-	8515106	chr10	8557069
CHCHD3P1	ENSG00000236420	10	8619933	8620608	+	8619933	chr10	8661896
RNA5SP299	ENSG00000212505	10	8656716	8656831	-	8656831	chr10	8698794
AL355333.1	ENSG00000270234	10	8724010	8724288	+	8724010	chr10	8765973
AC044784.2	ENSG00000234752	10	8897989	8914596	+	8897989	chr10	8939952
AC044784.1	ENSG00000223808	10	8970125	8973468	+	8970125	chr10	9012088
LINC00709	ENSG00000230014	10	9275833	9287057	+	9275833	chr10	9317796
HSP90AB7P	ENSG00000235838	10	9721963	9724416	-	9724416	chr10	9766379
AL157401.1	ENSG00000228636	10	9758783	9759237	-	9759237	chr10	9801200
AL138775.1	ENSG00000224788	10	10058722	10063502	+	10058722	chr10	10100685
ELOCP3	ENSG00000229919	10	10174230	10174577	+	10174230	chr10	10216193
Y_RNA	ENSG00000200849	10	10232611	10232712	+	10232611	chr10	10274574
CUX2P1	ENSG00000272436	10	10257169	10257466	-	10257466	chr10	10299429
AL583859.1	ENSG00000234306	10	10365180	10366487	-	10366487	chr10	10408450
AL583859.3	ENSG00000279575	10	10394670	10395737	+	10394670	chr10	10436633
AL583859.2	ENSG00000270111	10	10418739	10462349	-	10462349	chr10	10504312
AL136452.1	ENSG00000228997	10	10776223	10776661	-	10776661	chr10	10818624
SFTA1P	ENSG00000225383	10	10784437	10794980	-	10794980	chr10	10836943
CELF2	ENSG00000048740	10	10798397	11336675	+	10798397	chr10	10840360
LINC00710	ENSG00000229240	10	10917880	10952234	-	10952234	chr10	10994197
AL136369.2	ENSG00000231496	10	10960151	10970816	+	10960151	chr10	11002114
AL136369.1	ENSG00000228027	10	11010164	11011119	-	11011119	chr10	11053082
AL162408.1	ENSG00000229206	10	11030334	11030868	-	11030868	chr10	11072831
CELF2-AS2	ENSG00000237986	10	11071541	11105504	-	11105504	chr10	11147467
AL136320.1	ENSG00000230322	10	11168922	11171376	-	11171376	chr10	11213339
CELF2-AS1	ENSG00000181800	10	11316834	11319884	-	11319884	chr10	11361847
AC026887.1	ENSG00000280086	10	11395808	11398792	+	11395808	chr10	11437807
USP6NL	ENSG00000148429	10	11453946	11611754	-	11611754	chr10	11653753
AL512631.2	ENSG00000271360	10	11611305	11612227	+	11611305	chr10	11653304
AL512631.1	ENSG00000271046	10	11679675	11680514	+	11679675	chr10	11721674
ECHDC3	ENSG00000134463	10	11742366	11764070	+	11742366	chr10	11784365
PROSER2	ENSG00000148426	10	11823339	11872277	+	11823339	chr10	11865338
PROSER2-AS1	ENSG00000225778	10	11849608	11894700	-	11894700	chr10	11936699
UPF2	ENSG00000151461	10	11920022	12043170	-	12043170	chr10	12085169
RNU6-1095P	ENSG00000251957	10	11923181	11923288	+	11923181	chr10	11965180
DHTKD1	ENSG00000181192	10	12068972	12123225	+	12068972	chr10	12110971
RNU6-88P	ENSG00000272507	10	12116280	12116379	-	12116379	chr10	12158378
SEC61A2	ENSG00000065665	10	12129637	12169961	+	12129637	chr10	12171636
MIR548AK	ENSG00000265653	10	12130760	12130816	-	12130816	chr10	12172815
NUDT5	ENSG00000165609	10	12165325	12196144	-	12196144	chr10	12238143
CDC123	ENSG00000151465	10	12195965	12250589	+	12195965	chr10	12237964
AL512770.1	ENSG00000228302	10	12244751	12247845	-	12247845	chr10	12289844
RN7SL198P	ENSG00000264036	10	12328132	12328389	-	12328389	chr10	12370388
CAMK1D	ENSG00000183049	10	12349482	12835545	+	12349482	chr10	12391481
SNORD45	ENSG00000252438	10	12415928	12416000	+	12415928	chr10	12457927
RNU6ATAC39P	ENSG00000252118	10	12456483	12456631	+	12456483	chr10	12498482
MIR4480	ENSG00000263584	10	12578753	12578823	+	12578753	chr10	12620752
MIR4481	ENSG00000283699	10	12653138	12653197	-	12653197	chr10	12695196
MIR548Q	ENSG00000221331	10	12725254	12725353	-	12725353	chr10	12767352
CCDC3	ENSG00000151468	10	12896625	13099652	-	13099652	chr10	13141652
RNA5SP300	ENSG00000212499	10	12924679	12924785	-	12924785	chr10	12966785
RPL5P25	ENSG00000225251	10	13057902	13058676	-	13058676	chr10	13100676
OPTN	ENSG00000123240	10	13099449	13138308	+	13099449	chr10	13141449
SNRPGP5	ENSG00000235763	10	13104574	13104793	-	13104793	chr10	13146793
AL355355.2	ENSG00000234175	10	13139196	13139533	-	13139533	chr10	13181533
AL355355.1	ENSG00000228330	10	13142185	13142977	-	13142977	chr10	13184977
BTBD7P1	ENSG00000203414	10	13156684	13158136	-	13158136	chr10	13200136
RPL36AP36	ENSG00000237540	10	13159477	13159777	-	13159777	chr10	13201777
MCM10	ENSG00000065328	10	13161554	13211104	+	13161554	chr10	13203554
RNU6-6P	ENSG00000272055	10	13217269	13217375	+	13217269	chr10	13259269
UCMA	ENSG00000165623	10	13221767	13234334	-	13234334	chr10	13276334
PHYH	ENSG00000107537	10	13277796	13302412	-	13302412	chr10	13344412
C8orf59P1	ENSG00000226209	10	13308145	13308447	-	13308447	chr10	13350447
SEPHS1	ENSG00000086475	10	13317424	13348298	-	13348298	chr10	13390298
AL355870.1	ENSG00000233256	10	13415202	13423133	+	13415202	chr10	13457202
BEND7	ENSG00000165626	10	13438484	13528974	-	13528974	chr10	13570974
Y_RNA	ENSG00000202508	10	13511206	13511313	-	13511313	chr10	13553313
AL590677.1	ENSG00000227175	10	13528516	13530262	+	13528516	chr10	13570516
PRPF18	ENSG00000165630	10	13586927	13630868	+	13586927	chr10	13628927
RPL6P24	ENSG00000227474	10	13591460	13592323	-	13592323	chr10	13634323
AL157392.5	ENSG00000282246	10	13610047	13655929	+	13610047	chr10	13652047
AL157392.3	ENSG00000239665	10	13631143	13668445	+	13631143	chr10	13673143
FRMD4A	ENSG00000151474	10	13643706	14462142	-	14462142	chr10	14504141
AL157392.4	ENSG00000273474	10	13675646	13675990	+	13675646	chr10	13717646
AL157392.1	ENSG00000225112	10	13710415	13712054	+	13710415	chr10	13752415
RNA5SP301	ENSG00000199407	10	13727796	13727916	+	13727796	chr10	13769796
AL157392.2	ENSG00000234091	10	13729383	13756200	+	13729383	chr10	13771383
NUTF2P5	ENSG00000215227	10	13870797	13871175	+	13870797	chr10	13912797
AC044781.1	ENSG00000229751	10	13991815	14007526	+	13991815	chr10	14033815
AL157896.1	ENSG00000235410	10	14074284	14087605	+	14074284	chr10	14116283
MIR4293	ENSG00000266321	10	14383200	14383277	-	14383277	chr10	14425276
Metazoa_SRP	ENSG00000278100	10	14391875	14392196	+	14391875	chr10	14433874
MIR1265	ENSG00000221371	10	14436576	14436661	+	14436576	chr10	14478575
FAM107B	ENSG00000065809	10	14518557	14774897	-	14774897	chr10	14816896
AL158168.1	ENSG00000236495	10	14652742	14661691	+	14652742	chr10	14694741
RNA5SP302	ENSG00000201766	10	14663395	14663494	-	14663494	chr10	14705493
RPSAP7	ENSG00000237032	10	14723171	14724055	-	14724055	chr10	14766054
CDNF	ENSG00000185267	10	14819250	14838575	-	14838575	chr10	14880574
HSPA14	ENSG00000187522	10	14838164	14871741	+	14838164	chr10	14880163
AC069544.2	ENSG00000284024	10	14838166	14844727	+	14838166	chr10	14880165
AC069544.1	ENSG00000272853	10	14877688	14878686	-	14878686	chr10	14920685
SUV39H2	ENSG00000152455	10	14878820	14904315	+	14878820	chr10	14920819
DCLRE1C	ENSG00000152457	10	14897359	14954432	-	14954432	chr10	14996431
MEIG1	ENSG00000197889	10	14959439	14988050	+	14959439	chr10	15001438
OR7E110P	ENSG00000235623	10	14986942	14987515	-	14987515	chr10	15029514
OR7E26P	ENSG00000228547	10	14999050	15000055	-	15000055	chr10	15042054
OR7E115P	ENSG00000182531	10	15007861	15008884	-	15008884	chr10	15050883
DCLRE1CP1	ENSG00000237470	10	15015370	15021863	-	15021863	chr10	15063862
OLAH	ENSG00000152463	10	15032227	15073852	+	15032227	chr10	15074226
ACBD7	ENSG00000176244	10	15077523	15088776	-	15088776	chr10	15130775
GAPDHP45	ENSG00000228312	10	15093263	15093611	-	15093611	chr10	15135610
C10orf111	ENSG00000176236	10	15095385	15097319	-	15097319	chr10	15139318
RPP38	ENSG00000152464	10	15097180	15139818	+	15097180	chr10	15139179
NMT2	ENSG00000152465	10	15102584	15168693	-	15168693	chr10	15210692
PPIAP30	ENSG00000206448	10	15154802	15155320	-	15155320	chr10	15197319
AL590365.1	ENSG00000228181	10	15171036	15171278	-	15171278	chr10	15213277
FAM171A1	ENSG00000148468	10	15211643	15371062	-	15371062	chr10	15413061
AL607028.1	ENSG00000232739	10	15237492	15241767	+	15237492	chr10	15279491
ITGA8	ENSG00000077943	10	15513949	15720125	-	15720125	chr10	15762124
MINDY3	ENSG00000148481	10	15778170	15860520	-	15860520	chr10	15902519
SNORA31	ENSG00000252537	10	16005808	16005923	+	16005808	chr10	16047807
FTLP19	ENSG00000237913	10	16071416	16071809	-	16071809	chr10	16113808
RNU6-1075P	ENSG00000201260	10	16207821	16207927	-	16207927	chr10	16249926
AL355339.1	ENSG00000226140	10	16278701	16295858	+	16278701	chr10	16320700
PTER	ENSG00000165983	10	16436943	16513745	+	16436943	chr10	16478942
RNU2-18P	ENSG00000223156	10	16476003	16476164	+	16476003	chr10	16518002
C1QL3	ENSG00000165985	10	16513743	16522005	-	16522005	chr10	16564004
RSU1	ENSG00000148484	10	16590611	16817528	-	16817528	chr10	16859527
AC073367.1	ENSG00000225213	10	16721352	16748377	-	16748377	chr10	16790376
uc_338	ENSG00000275001	10	16767235	16767416	+	16767235	chr10	16809234
CUBN	ENSG00000107611	10	16823964	17129831	-	17129831	chr10	17171830
AC067747.1	ENSG00000273153	10	17137336	17137585	-	17137585	chr10	17179584
TRDMT1	ENSG00000107614	10	17142254	17202054	-	17202054	chr10	17244053
VIM-AS1	ENSG00000229124	10	17214239	17229985	-	17229985	chr10	17271984
VIM	ENSG00000026025	10	17228259	17237593	+	17228259	chr10	17270258
AL133415.1	ENSG00000234961	10	17233325	17234833	-	17234833	chr10	17276832
ST8SIA6	ENSG00000148488	10	17318383	17454330	-	17454330	chr10	17496329
ST8SIA6-AS1	ENSG00000204832	10	17386936	17413503	+	17386936	chr10	17428935
Y_RNA	ENSG00000251803	10	17403508	17403620	+	17403508	chr10	17445507
PRPF38AP2	ENSG00000236582	10	17577362	17578212	+	17577362	chr10	17619361
HACD1	ENSG00000165996	10	17589032	17617377	-	17617377	chr10	17659376
AC069542.2	ENSG00000280126	10	17602910	17603127	+	17602910	chr10	17644909
STAM-AS1	ENSG00000260589	10	17641284	17643878	-	17643878	chr10	17685877
STAM	ENSG00000136738	10	17644125	17715914	+	17644125	chr10	17686124
AC069542.1	ENSG00000229190	10	17695709	17700232	-	17700232	chr10	17742231
TMEM236	ENSG00000148483	10	17752252	17800868	+	17752252	chr10	17794251
MRC1	ENSG00000260314	10	17809344	17911170	+	17809344	chr10	17851343
MIR511	ENSG00000207938	10	17845107	17845193	+	17845107	chr10	18134036
AC069023.1	ENSG00000235637	10	17862887	17865471	-	17865471	chr10	18154400
SLC39A12	ENSG00000148482	10	17951839	18043292	+	17951839	chr10	18240768
SLC39A12-AS1	ENSG00000226083	10	18001786	18010562	-	18010562	chr10	18299491
CACNB2	ENSG00000165995	10	18140677	18541869	+	18140677	chr10	18429606
AL390783.1	ENSG00000235020	10	18206127	18261194	-	18261194	chr10	18550123
AL450384.2	ENSG00000240291	10	18513115	18545651	-	18545651	chr10	18834580
AL450384.1	ENSG00000225527	10	18531849	18533336	-	18533336	chr10	18822265
NSUN6	ENSG00000241058	10	18545561	18659285	-	18659285	chr10	18948214
ARL5B	ENSG00000165997	10	18659405	18681639	+	18659405	chr10	18948334
AIFM1P1	ENSG00000225509	10	18735745	18738631	+	18735745	chr10	19024674
AL512641.1	ENSG00000234244	10	18746433	18747853	+	18746433	chr10	19035362
AL357520.1	ENSG00000234813	10	18940501	18940953	+	18940501	chr10	19229430
MALRD1	ENSG00000204740	10	19048771	19790401	+	19048771	chr10	19337700
UBE2V2P1	ENSG00000226255	10	19051455	19052170	+	19051455	chr10	19340384
AL590378.1	ENSG00000227734	10	19290223	19291480	-	19291480	chr10	19580409
HMGN1P20	ENSG00000239539	10	19489101	19489400	+	19489101	chr10	19778030
AL354695.1	ENSG00000236960	10	19491072	19491299	-	19491299	chr10	19780228
U3	ENSG00000200545	10	19598247	19598463	+	19598247	chr10	19887176
RNA5SP303	ENSG00000252001	10	19633683	19633812	-	19633812	chr10	19922741
AL157895.1	ENSG00000233968	10	19710328	19728550	-	19728550	chr10	20017479
MTND1P37	ENSG00000283456	10	19747172	19747435	-	19747435	chr10	20036364
MTND2P16	ENSG00000230818	10	19747823	19748621	+	19747823	chr10	20036752
RNU6-1212P	ENSG00000252832	10	19792998	19793101	-	19793101	chr10	20082030
PLXDC2	ENSG00000120594	10	19816239	20289856	+	19816239	chr10	20105168
AC069549.1	ENSG00000238246	10	20070805	20091784	-	20091784	chr10	20380713
AMD1P1	ENSG00000228339	10	20350049	20351100	+	20350049	chr10	20638978
AL590032.1	ENSG00000270727	10	20547171	20547422	+	20547171	chr10	20836100
MIR4675	ENSG00000265372	10	20551970	20552046	+	20551970	chr10	20840899
NEBL	ENSG00000078114	10	20779973	21174187	-	21174187	chr10	21463116
MTND1P21	ENSG00000235940	10	20804293	20804577	+	20804293	chr10	21093222
AL157398.1	ENSG00000230112	10	20841375	20841560	+	20841375	chr10	21130304
EIF4BP2	ENSG00000228753	10	21028999	21030792	+	21028999	chr10	21317928
NPM1P30	ENSG00000228219	10	21110682	21113388	+	21110682	chr10	21399611
C10orf113	ENSG00000204683	10	21125763	21146559	-	21146559	chr10	21435488
NEBL-AS1	ENSG00000231920	10	21174014	21175048	+	21174014	chr10	21462943
AL731547.1	ENSG00000228860	10	21217891	21218279	+	21217891	chr10	21506820
LUZP4P1	ENSG00000232853	10	21247752	21248095	+	21247752	chr10	21536681
RNU6-15P	ENSG00000207264	10	21321961	21322067	+	21321961	chr10	21610890
AL158209.1	ENSG00000230109	10	21340233	21372950	-	21372950	chr10	21661879
RNMTL1P1	ENSG00000231553	10	21394033	21394592	+	21394033	chr10	21682962
AL158209.2	ENSG00000278650	10	21452197	21452412	+	21452197	chr10	21741126
Metazoa_SRP	ENSG00000273566	10	21455236	21455515	-	21455515	chr10	21744444
Y_RNA	ENSG00000199222	10	21481716	21481817	+	21481716	chr10	21770645
CASC10	ENSG00000204682	10	21492658	21497262	-	21497262	chr10	21786191
MIR1915	ENSG00000222071	10	21496562	21496641	-	21496641	chr10	21785570
SKIDA1	ENSG00000180592	10	21513478	21526368	-	21526368	chr10	21815297
MLLT10	ENSG00000078403	10	21524675	21743630	+	21524675	chr10	21813604
RNU6-306P	ENSG00000207347	10	21564471	21564577	-	21564577	chr10	21853506
HNRNPRP1	ENSG00000223984	10	21624592	21626286	-	21626286	chr10	21915215
RNU6-1141P	ENSG00000201390	10	21661635	21661741	-	21661741	chr10	21950670
DNAJC1	ENSG00000136770	10	21756537	22003769	-	22003769	chr10	22292698
RN7SKP219	ENSG00000252634	10	21785292	21785587	+	21785292	chr10	22074221
AL359697.1	ENSG00000279623	10	21865335	21865921	-	21865921	chr10	22154850
RN7SKP37	ENSG00000201364	10	21933143	21933438	+	21933143	chr10	22222072
ADIPOR1P1	ENSG00000232497	10	22162992	22165794	+	22162992	chr10	22451921
AL157831.1	ENSG00000236777	10	22163092	22164306	+	22163092	chr10	22452021
EBLN1	ENSG00000223601	10	22208814	22210021	-	22210021	chr10	22498950
AL157831.2	ENSG00000260205	10	22218074	22221168	+	22218074	chr10	22507003
PSME2P6	ENSG00000227462	10	22225698	22226024	+	22225698	chr10	22514627
AL158211.5	ENSG00000279631	10	22252072	22254589	+	22252072	chr10	22541001
AL158211.1	ENSG00000261671	10	22257786	22258548	+	22257786	chr10	22546715
RPL31P45	ENSG00000233318	10	22266991	22267346	+	22266991	chr10	22555920
COMMD3	ENSG00000148444	10	22315974	22320308	+	22315974	chr10	22604903
COMMD3-BMI1	ENSG00000269897	10	22316388	22329542	+	22316388	chr10	22605317
BMI1	ENSG00000168283	10	22321211	22331484	+	22321211	chr10	22610140
AL158211.4	ENSG00000272516	10	22332404	22332987	+	22332404	chr10	22621333
AL158211.2	ENSG00000271981	10	22332587	22332981	-	22332981	chr10	22621910
AL158211.3	ENSG00000272366	10	22340377	22340615	-	22340615	chr10	22629544
SPAG6	ENSG00000077327	10	22345445	22454224	+	22345445	chr10	22634374
AL513128.1	ENSG00000233451	10	22361172	22413067	+	22361172	chr10	22650101
PIP4K2A	ENSG00000150867	10	22534849	22714555	-	22714555	chr10	23003484
AL390318.1	ENSG00000279819	10	22693953	22694639	-	22694639	chr10	22983568
RNU6-413P	ENSG00000206842	10	22787393	22787499	+	22787393	chr10	23076322
ARMC3	ENSG00000165309	10	22928024	23038523	+	22928024	chr10	23216953
RNA5SP304	ENSG00000223131	10	22997255	22997358	+	22997255	chr10	23286184
MSRB2	ENSG00000148450	10	23095506	23122013	+	23095506	chr10	23384435
YWHAZP3	ENSG00000229932	10	23136924	23137661	+	23136924	chr10	23425853
SNORA40	ENSG00000252049	10	23166985	23167101	+	23166985	chr10	23455914
PTF1A	ENSG00000168267	10	23192327	23194252	+	23192327	chr10	23481256
C10orf67	ENSG00000179133	10	23201916	23344845	-	23344845	chr10	23633774
AL139281.1	ENSG00000227537	10	23258211	23258545	+	23258211	chr10	23547140
AL606469.1	ENSG00000224215	10	23343957	23345181	+	23343957	chr10	23632886
MIR1254-2	ENSG00000264574	10	23393405	23393467	+	23393405	chr10	23682334
OTUD1	ENSG00000165312	10	23439458	23442390	+	23439458	chr10	23728387
KIAA1217	ENSG00000120549	10	23694746	24547848	+	23694746	chr10	23983675
NUP35P1	ENSG00000223928	10	24157835	24158781	+	24157835	chr10	24446764
AC063961.1	ENSG00000277563	10	24255246	24255333	+	24255246	chr10	24544175
MIR603	ENSG00000207930	10	24275685	24275781	+	24275685	chr10	24564614
AL353583.1	ENSG00000279029	10	24481180	24483034	-	24483034	chr10	24771963
ARHGAP21	ENSG00000107863	10	24583609	24723668	-	24723668	chr10	25012597
RNA5SP305	ENSG00000199535	10	24640166	24640284	+	24640166	chr10	24929095
PRTFDC1	ENSG00000099256	10	24848607	24952604	-	24952604	chr10	25241533
AL157385.1	ENSG00000228667	10	24867645	24868190	+	24867645	chr10	25156574
RN7SKP241	ENSG00000240294	10	24908522	24908812	-	24908812	chr10	25197741
AL512598.1	ENSG00000273107	10	24953241	24953513	+	24953241	chr10	25242170
ENKUR	ENSG00000151023	10	24981979	25062279	-	25062279	chr10	25351208
THNSL1	ENSG00000185875	10	25016658	25026664	+	25016658	chr10	25305587
LINC01516	ENSG00000231422	10	25113058	25161236	+	25113058	chr10	25401987
GPR158-AS1	ENSG00000233642	10	25158072	25176276	-	25176276	chr10	25465205
GPR158	ENSG00000151025	10	25175062	25602226	+	25175062	chr10	25463991
AL354976.1	ENSG00000274242	10	25244061	25244854	-	25244854	chr10	25533783
RN7SKP220	ENSG00000222543	10	25393557	25393844	-	25393844	chr10	25682773
GPN3P1	ENSG00000227465	10	25647570	25648104	-	25648104	chr10	25937033
LINC00836	ENSG00000280809	10	25651712	25732935	+	25651712	chr10	25940641
HIRAP1	ENSG00000271563	10	25691537	25692323	+	25691537	chr10	25980466
RNA5SP306	ENSG00000223019	10	25813811	25813917	-	25813917	chr10	26102846
RNU6-632P	ENSG00000251711	10	25819363	25819426	-	25819426	chr10	26108355
AL358612.1	ENSG00000226304	10	25924448	25933710	-	25933710	chr10	26222639
MYO3A	ENSG00000095777	10	25934267	26212527	+	25934267	chr10	26223196
GAD2	ENSG00000136750	10	26216307	26304558	+	26216307	chr10	26505236
APBB1IP	ENSG00000077420	10	26438203	26567803	+	26438203	chr10	26727132
RNA5SP307	ENSG00000199733	10	26509589	26509704	+	26509589	chr10	26798518
AL160287.1	ENSG00000236894	10	26577676	26622338	-	26622338	chr10	26911267
FAM238A	ENSG00000233261	10	26589865	26594330	+	26589865	chr10	26878794
AL390961.2	ENSG00000234296	10	26643228	26645016	+	26643228	chr10	26932157
FAM238B	ENSG00000231976	10	26647986	26653454	+	26647986	chr10	26936915
AL390961.1	ENSG00000227932	10	26664206	26697295	-	26697295	chr10	26986224
AL390961.4	ENSG00000279212	10	26695091	26697625	-	26697625	chr10	26986554
PDSS1	ENSG00000148459	10	26697659	26746798	+	26697659	chr10	26986588
HSPA8P3	ENSG00000234788	10	26714622	26715832	+	26714622	chr10	27003551
AL390961.3	ENSG00000235843	10	26717635	26718778	+	26717635	chr10	27006564
ABI1	ENSG00000136754	10	26746593	26861087	-	26861087	chr10	27150016
SNORA57	ENSG00000223027	10	26789017	26789157	+	26789017	chr10	27077946
RNU6-946P	ENSG00000206605	10	26790540	26790646	-	26790646	chr10	27079575
FAM238C	ENSG00000283709	10	26931206	26944418	-	26944418	chr10	27233347
ANKRD26	ENSG00000107890	10	26991914	27100498	-	27100498	chr10	27389427
RNU6-490P	ENSG00000199855	10	27088321	27088427	-	27088427	chr10	27377356
YME1L1	ENSG00000136758	10	27110112	27155266	-	27155266	chr10	27444195
MASTL	ENSG00000120539	10	27154824	27186924	+	27154824	chr10	27443753
RNU2-24P	ENSG00000252639	10	27193358	27193500	-	27193500	chr10	27482429
ACBD5	ENSG00000107897	10	27195214	27242130	-	27242130	chr10	27531059
RNU7-12P	ENSG00000251839	10	27232255	27232316	-	27232316	chr10	27521245
