	mean gene expression	Enf prediction, Reference, fine-tuned
ENSG00000164597	4.269418	4.218832
ENSG00000172209	3.921255	5.508897
ENSG00000105865	2.516681	4.655341
ENSG00000075790	6.324092	5.297903
ENSG00000233705	5.365037	5.399465
ENSG00000091137	3.107719	4.619248
ENSG00000105879	4.248435	4.323033
ENSG00000091140	5.884117	4.576439
ENSG00000091136	4.955814	2.393950
ENSG00000091129	8.360456	6.852464
ENSG00000135241	5.949732	4.806541
ENSG00000177683	4.442670	5.080541
ENSG00000128590	4.992391	5.329140
ENSG00000184903	2.186630	3.570285
ENSG00000173114	5.015287	3.702166
ENSG00000128512	6.207047	6.047638
ENSG00000198839	3.296680	4.536731
ENSG00000006652	5.095022	5.162564
ENSG00000146802	3.803474	3.675973
ENSG00000164603	3.683929	4.477078
ENSG00000164604	4.243370	3.832857
ENSG00000214194	3.963320	3.033978
ENSG00000128573	2.858039	2.856071
ENSG00000135272	2.803764	1.509405
ENSG00000105971	3.237219	3.652450
ENSG00000105974	3.149679	2.966156
ENSG00000105976	3.463805	2.791622
ENSG00000198898	6.228666	3.547534
ENSG00000004866	4.298115	4.141862
ENSG00000077063	4.707774	4.718245
ENSG00000128534	2.710983	4.610895
ENSG00000184408	4.305210	4.446156
ENSG00000106025	2.462714	2.855161
ENSG00000071243	3.207378	4.291742
ENSG00000196937	5.994577	6.030015
ENSG00000106278	7.479685	6.111401
ENSG00000008311	2.770878	4.277090
ENSG00000081803	5.716984	4.391846
ENSG00000128609	7.183988	5.500034
ENSG00000106299	6.421258	5.865086
ENSG00000272686	2.226999	5.533942
ENSG00000234224	2.509760	3.381363
ENSG00000279419	2.273646	3.698559
ENSG00000170775	4.415117	5.898241
ENSG00000128513	3.623706	3.947130
ENSG00000179603	2.690015	4.016678
ENSG00000048405	2.834190	3.971288
ENSG00000179562	3.440698	3.393511
ENSG00000004059	6.492297	5.200127
ENSG00000197157	5.981210	5.939089
ENSG00000128594	6.015141	5.803067
ENSG00000106344	4.519727	4.746526
ENSG00000224940	2.479234	3.377962
ENSG00000106348	5.198737	3.600262
ENSG00000135245	3.600641	4.708209
ENSG00000165055	4.424910	3.715195
ENSG00000273270	3.206272	5.264683
ENSG00000243302	2.039480	3.243396
ENSG00000243679	2.268879	3.126032
ENSG00000281490	2.534539	2.309923
ENSG00000271344	2.224742	4.149076
ENSG00000128595	5.155788	5.241421
ENSG00000128596	6.116954	5.780736
ENSG00000128591	3.270867	4.191159
ENSG00000128524	6.716703	5.782782
ENSG00000272899	3.677041	3.745219
ENSG00000128604	2.108487	4.217134
ENSG00000064419	5.317900	4.588840
ENSG00000158457	4.436258	3.914860
ENSG00000128602	3.225927	2.760783
ENSG00000158467	6.339160	5.349686
ENSG00000128578	3.824236	4.503591
ENSG00000240204	2.405497	3.872557
ENSG00000106459	4.053581	5.216891
ENSG00000186591	6.846138	6.300266
ENSG00000091732	3.384590	4.346972
ENSG00000128607	5.798134	4.903907
ENSG00000146842	3.047279	4.879567
ENSG00000106477	4.170814	5.408278
ENSG00000106484	3.802509	3.389866
ENSG00000158623	4.529528	4.318629
ENSG00000226380	3.566213	3.640463
ENSG00000231721	4.497448	6.122791
ENSG00000128585	4.488705	6.472514
ENSG00000128567	6.128079	5.494467
ENSG00000221866	5.691394	4.801224
ENSG00000106554	4.440233	4.516792
ENSG00000131558	5.529468	4.473002
ENSG00000205060	5.205813	4.573791
ENSG00000085662	6.077319	5.515235
ENSG00000172331	4.336567	4.654780
ENSG00000122786	5.912585	3.808910
ENSG00000122783	2.522016	3.716602
ENSG00000146859	2.294811	3.913893
ENSG00000105875	4.378616	4.281093
ENSG00000080802	4.646782	4.811954
ENSG00000155561	4.300108	4.258325
ENSG00000243317	4.650345	4.763067
ENSG00000105887	7.345076	6.536474
ENSG00000105894	7.209584	6.935246
ENSG00000157680	4.983834	4.772055
ENSG00000182158	3.519237	4.301330
ENSG00000122779	4.142944	4.657610
ENSG00000122778	4.693684	5.039205
ENSG00000105939	3.615238	4.892455
ENSG00000105948	2.246077	3.541976
ENSG00000157741	4.933962	4.531627
ENSG00000164898	3.449574	5.528288
ENSG00000146963	6.382188	4.537474
ENSG00000236279	5.074259	5.098176
ENSG00000064393	8.286488	6.923922
ENSG00000059378	2.733461	2.191211
ENSG00000006459	3.889435	4.187236
ENSG00000260231	2.219653	4.312905
ENSG00000157800	4.379513	4.056334
ENSG00000133606	6.269496	5.174521
ENSG00000146966	4.838419	5.035561
ENSG00000133597	4.515890	4.169732
ENSG00000090266	5.848323	3.949103
ENSG00000157764	5.420840	5.312945
ENSG00000090263	4.564960	4.108814
ENSG00000261115	5.865634	4.973524
ENSG00000006530	5.262240	4.161534
ENSG00000257093	5.963475	5.372466
ENSG00000106028	4.729760	5.237490
ENSG00000211772	2.347741	3.096710
ENSG00000106123	7.681372	5.874219
ENSG00000165125	2.686125	3.172979
ENSG00000197448	5.327923	3.480884
ENSG00000106144	3.519518	3.906812
ENSG00000159784	6.956540	5.930931
ENSG00000232533	2.338984	5.782642
ENSG00000159840	6.536933	4.716095
ENSG00000198420	5.414492	4.700267
ENSG00000196511	2.619924	4.062808
ENSG00000174469	7.079238	4.853643
ENSG00000055130	6.010439	5.168389
ENSG00000155660	4.325431	5.416413
ENSG00000197362	3.097213	4.615151
ENSG00000204947	2.874026	4.560451
ENSG00000197024	3.474006	4.278830
ENSG00000170265	4.201502	4.771488
ENSG00000170260	3.278153	3.923443
ENSG00000204946	4.003320	4.481754
ENSG00000244560	2.127394	3.033174
ENSG00000196453	4.254525	4.930421
ENSG00000181220	4.450130	4.324035
ENSG00000133624	4.503553	3.932837
ENSG00000133619	4.400596	4.124667
ENSG00000181444	2.876834	3.102169
ENSG00000197558	3.473788	3.723849
ENSG00000106479	4.491394	4.156483
ENSG00000204934	2.697036	5.843942
ENSG00000171130	7.734062	5.164081
ENSG00000127399	3.096631	4.189738
ENSG00000106538	3.862586	3.473209
ENSG00000214022	6.158696	5.251015
ENSG00000196456	3.206800	4.889874
ENSG00000284048	2.204221	4.316789
ENSG00000171115	2.268266	3.204195
ENSG00000179144	2.479779	3.229935
ENSG00000133574	3.100899	3.433576
ENSG00000133561	2.761148	3.387219
ENSG00000213203	2.082141	3.196051
ENSG00000196329	2.960960	3.216941
ENSG00000106565	3.827242	2.651596
ENSG00000002933	3.469166	3.750059
ENSG00000055118	4.655483	5.449041
ENSG00000164867	2.899020	4.150841
ENSG00000181652	2.361685	4.119152
ENSG00000197150	5.260760	4.745175
ENSG00000213199	3.868396	3.747503
ENSG00000164885	5.548587	5.316562
ENSG00000164889	3.713872	4.903046
ENSG00000164896	5.990726	4.885132
ENSG00000164897	4.581588	4.970281
ENSG00000133612	8.418289	6.564546
ENSG00000033050	5.774331	5.117176
ENSG00000033100	4.386698	5.640380
ENSG00000082014	6.586145	5.618260
ENSG00000013374	5.105029	4.505088
ENSG00000187260	2.457077	4.168037
ENSG00000106615	6.708505	5.360782
ENSG00000106617	5.385823	4.976853
ENSG00000239911	4.029064	5.351102
ENSG00000106648	2.033453	4.915121
ENSG00000178234	5.862597	4.826018
ENSG00000055609	5.940789	4.797389
ENSG00000261455	3.052706	4.424074
ENSG00000133627	5.398735	5.363197
ENSG00000130226	7.142272	3.848800
ENSG00000157212	2.700980	4.078765
ENSG00000273344	3.390083	3.807788
ENSG00000220575	3.504581	3.945848
ENSG00000157219	3.992739	4.066586
ENSG00000273117	2.211057	4.143522
ENSG00000186480	5.656387	4.830378
ENSG00000184863	6.020428	4.349965
ENSG00000182648	2.891251	3.445210
ENSG00000105983	5.494741	4.802607
ENSG00000146909	3.461074	4.004376
ENSG00000009335	5.654137	5.060000
ENSG00000105993	6.435532	5.148934
ENSG00000155093	7.399169	5.698722
ENSG00000146918	2.714951	3.602197
ENSG00000117868	6.125709	4.944868
ENSG00000126870	4.675799	4.824374
ENSG00000172748	2.534182	3.611989
ENSG00000147364	4.811141	4.772124
ENSG00000180190	4.667292	4.389664
ENSG00000104714	3.825432	3.129813
ENSG00000198010	5.342440	4.495998
ENSG00000182372	4.616766	4.411156
ENSG00000253982	3.705882	4.995943
ENSG00000104728	5.084657	4.550044
ENSG00000253764	2.130713	5.765266
ENSG00000176595	7.356287	6.028721
ENSG00000036448	4.603021	4.259829
ENSG00000183117	5.110543	5.768350
ENSG00000147316	3.604719	4.758952
ENSG00000091879	2.446867	3.655102
ENSG00000155189	5.178306	4.569330
ENSG00000275342	4.449988	4.389504
ENSG00000147324	4.675871	4.890273
ENSG00000104626	2.854314	5.149176
ENSG00000173273	6.011368	5.295833
ENSG00000253230	6.898110	5.474755
ENSG00000175806	4.151958	4.418639
ENSG00000272505	3.664257	4.273037
ENSG00000171056	2.692904	2.742678
ENSG00000254093	2.778276	3.629129
ENSG00000280294	3.755075	4.395175
ENSG00000269918	2.305006	3.806316
ENSG00000104643	5.395167	4.606652
ENSG00000154319	5.255386	4.446334
ENSG00000154328	5.032530	4.792394
ENSG00000079459	6.571328	3.608375
ENSG00000164733	8.488302	5.279210
ENSG00000283674	2.123674	3.172432
ENSG00000154359	4.848127	5.909078
ENSG00000250305	4.518629	4.075703
ENSG00000164741	5.320095	4.657557
ENSG00000104723	5.322391	4.131779
ENSG00000155970	5.541256	5.922419
ENSG00000104219	4.684883	5.057826
ENSG00000198791	6.135279	5.447381
ENSG00000155975	4.972234	5.605336
ENSG00000003987	4.054813	5.184743
ENSG00000003989	4.046505	3.373780
ENSG00000129422	5.804022	4.019556
ENSG00000078674	6.540584	5.582119
ENSG00000104763	6.472728	4.047228
ENSG00000156011	7.879588	4.137852
ENSG00000147408	5.583983	4.674161
ENSG00000104613	5.294510	5.149238
ENSG00000175445	4.578697	4.702179
ENSG00000147416	8.420043	6.578829
ENSG00000061337	6.071692	4.726301
ENSG00000168546	5.096169	4.239520
ENSG00000130227	6.240803	5.179778
ENSG00000158806	5.548718	6.357496
ENSG00000158815	4.126301	4.737077
ENSG00000158856	8.637758	7.180785
ENSG00000158863	5.671881	4.574155
ENSG00000275074	2.887731	4.820238
ENSG00000168453	5.855738	4.233498
ENSG00000168476	2.101408	3.952872
ENSG00000168481	7.197640	5.337958
ENSG00000168484	2.525871	7.318969
ENSG00000168487	3.648342	3.516041
ENSG00000168490	8.885625	9.270436
ENSG00000168495	3.775237	4.441755
ENSG00000104635	4.901767	4.630499
ENSG00000120910	3.633926	5.014420
ENSG00000120896	5.723411	4.331373
ENSG00000120913	4.293170	4.077792
ENSG00000241852	2.607579	4.895597
ENSG00000158941	6.144735	5.542542
ENSG00000147439	2.748672	4.336165
ENSG00000179388	5.517016	5.477991
ENSG00000008853	6.765019	5.418812
ENSG00000120889	3.571002	2.587457
ENSG00000147457	5.129639	4.533361
ENSG00000104679	4.863279	4.360768
ENSG00000197217	5.932330	5.244504
ENSG00000147454	5.253524	4.814295
ENSG00000272163	2.704304	7.968583
ENSG00000104722	8.725308	7.106067
ENSG00000277586	9.175337	6.894282
ENSG00000147459	4.296920	4.767731
ENSG00000104756	3.623609	4.776637
ENSG00000221914	5.380792	5.854529
ENSG00000104765	6.753415	5.740594
ENSG00000240694	8.092107	8.024980
ENSG00000092964	9.231857	8.270565
ENSG00000015592	6.957157	6.881441
ENSG00000104228	4.012516	4.341262
ENSG00000120899	7.938820	3.906914
ENSG00000120903	2.888878	4.059728
ENSG00000120915	3.652467	4.760533
ENSG00000120885	11.514705	8.201674
ENSG00000168077	6.252497	4.544647
ENSG00000147419	5.769710	4.831899
ENSG00000134014	5.182517	4.709234
ENSG00000186918	4.652859	6.133855
ENSG00000214050	2.575232	4.941632
ENSG00000104290	5.535836	5.289872
ENSG00000012232	6.187505	4.507840
ENSG00000104299	3.132480	4.750372
ENSG00000147421	3.752474	4.870290
ENSG00000197892	4.801198	4.629358
ENSG00000120875	3.059420	4.408331
ENSG00000133872	8.647988	7.633660
ENSG00000104660	5.319069	5.729934
ENSG00000104671	4.752997	5.377045
ENSG00000157110	2.989228	4.349953
ENSG00000197265	3.718813	4.766830
ENSG00000104687	4.928417	5.509501
ENSG00000104691	3.097836	5.172763
ENSG00000104695	7.607215	4.687127
ENSG00000172733	3.240483	3.186710
ENSG00000165392	2.532649	3.375558
ENSG00000157168	2.727308	3.599867
ENSG00000172728	2.386536	3.913688
ENSG00000129696	2.287423	4.022340
ENSG00000198042	3.295862	4.248429
ENSG00000133878	5.906317	6.560912
ENSG00000156687	4.221154	4.292972
ENSG00000183779	4.699511	5.051488
ENSG00000147475	4.841256	4.253289
ENSG00000147471	5.396692	4.698800
ENSG00000020181	3.773646	4.642819
ENSG00000104221	2.396035	4.734701
ENSG00000129691	5.346808	4.739806
ENSG00000147465	2.273993	4.629805
ENSG00000175324	3.328589	5.471576
ENSG00000156735	5.459900	5.096213
ENSG00000085788	6.618080	4.191901
ENSG00000147535	4.053496	3.782716
ENSG00000147548	6.340741	5.742769
ENSG00000165046	2.273974	4.782865
ENSG00000077782	5.882279	5.853100
ENSG00000147526	7.344037	4.870345
ENSG00000169499	5.022180	4.846588
ENSG00000169490	4.912839	4.944160
ENSG00000168615	5.086976	5.176995
ENSG00000176907	3.129314	3.900928
ENSG00000165061	4.238914	5.338517
ENSG00000104332	3.747440	4.109464
ENSG00000147533	5.961871	6.023681
ENSG00000158669	5.383691	5.329126
ENSG00000029534	4.767265	4.605748
ENSG00000083168	5.019075	5.100743
ENSG00000070718	6.031654	4.790250
ENSG00000104368	3.993610	4.462763
ENSG00000104365	4.447048	3.626272
ENSG00000070501	4.015649	4.152158
ENSG00000078668	6.809940	5.820036
ENSG00000168575	5.898390	5.659749
ENSG00000176209	4.496497	5.425553
ENSG00000131931	2.731066	4.265042
ENSG00000120925	5.011095	4.742968
ENSG00000168172	5.222580	5.427722
ENSG00000168522	5.423284	4.084075
ENSG00000165102	5.740257	4.881463
ENSG00000255366	3.482975	4.469078
ENSG00000164808	5.301058	4.048013
ENSG00000221869	4.546834	4.897074
ENSG00000253729	6.194148	4.767176
ENSG00000104738	4.645699	4.715077
ENSG00000169139	6.570364	4.935780
ENSG00000147481	3.332257	4.330536
ENSG00000168300	5.025317	5.413793
ENSG00000147488	3.648652	4.206627
ENSG00000023287	7.138373	4.505111
ENSG00000082556	2.280679	4.156121
ENSG00000047249	7.004686	4.851456
ENSG00000147509	4.214824	4.709959
ENSG00000187735	5.260542	4.071486
ENSG00000120992	3.926362	4.479859
ENSG00000137547	4.794027	5.111509
ENSG00000206579	3.870590	4.694704
ENSG00000167904	3.309695	3.841748
ENSG00000137574	3.171976	3.683241
ENSG00000254087	3.244225	3.426504
ENSG00000008988	7.694909	7.064981
ENSG00000170791	4.701910	5.210079
ENSG00000170786	2.683325	3.556615
ENSG00000104331	6.206509	5.174224
ENSG00000169122	4.561305	5.159772
ENSG00000215114	5.293282	4.365012
ENSG00000137575	6.935891	5.055144
ENSG00000035681	4.425931	5.057906
ENSG00000198846	4.793064	4.925487
ENSG00000167912	2.915035	5.978426
ENSG00000178538	3.449648	3.404588
ENSG00000104388	7.214076	6.198830
ENSG00000171316	3.971964	4.456147
ENSG00000177182	3.049803	4.380367
ENSG00000198363	6.817330	5.535728
ENSG00000137563	3.511286	4.222362
ENSG00000185728	5.149146	4.892067
ENSG00000254377	5.159980	5.945422
ENSG00000180828	2.781731	4.246784
ENSG00000104442	5.207302	4.408257
ENSG00000066855	2.529312	3.997862
ENSG00000205268	3.951684	4.149825
ENSG00000147571	2.916077	4.721889
ENSG00000179041	3.325262	4.525603
ENSG00000147576	4.236563	4.731637
ENSG00000169085	7.229367	7.305691
ENSG00000185697	2.008299	4.625830
ENSG00000175073	4.703769	4.484507
ENSG00000104205	4.044643	4.445304
ENSG00000245910	5.324813	4.864788
ENSG00000121022	5.210844	3.822507
ENSG00000104218	3.714188	4.523034
ENSG00000066777	5.042308	4.703921
ENSG00000046889	5.094939	4.614402
ENSG00000137573	3.089471	3.408068
ENSG00000140396	5.161716	4.774342
ENSG00000067167	4.875245	4.901526
ENSG00000147592	2.160832	3.857582
ENSG00000104313	2.322114	4.439901
ENSG00000235531	2.387844	3.835829
ENSG00000178860	2.114241	2.106617
ENSG00000182674	2.465090	3.879386
ENSG00000260838	2.296881	4.250125
ENSG00000147601	4.632202	4.630399
ENSG00000253636	2.167280	3.415870
ENSG00000147604	7.856501	4.508634
ENSG00000121039	2.728268	3.648235
ENSG00000040341	6.519329	5.793968
ENSG00000104343	5.317944	5.109591
ENSG00000154582	5.756925	5.715070
ENSG00000175606	4.852013	5.198438
ENSG00000104369	4.010839	4.684598
ENSG00000104381	6.490501	4.346493
ENSG00000121005	2.394337	2.356840
ENSG00000270866	2.301754	2.983986
ENSG00000091656	3.641546	4.086984
ENSG00000164751	4.531999	4.860649
ENSG00000171033	6.388088	6.509245
ENSG00000104427	4.294798	5.080014
ENSG00000104435	8.712345	9.195964
ENSG00000164683	5.028083	5.555644
ENSG00000147586	4.307958	4.257453
ENSG00000076554	7.023113	4.325936
ENSG00000251867	2.157507	4.452286
ENSG00000205189	4.070719	3.999886
ENSG00000164684	5.106458	4.593272
ENSG00000076641	4.129374	5.062905
ENSG00000164687	4.021899	5.644710
ENSG00000147588	7.798026	6.070525
ENSG00000133731	4.898347	4.667573
ENSG00000104231	4.237936	3.385405
ENSG00000104497	3.173232	4.578686
ENSG00000184672	5.377921	4.062568
ENSG00000133739	3.659090	2.438841
ENSG00000133740	2.606291	3.224621
ENSG00000176731	3.231484	3.881841
ENSG00000185015	2.413057	3.748501
ENSG00000104267	5.423232	4.642891
ENSG00000123124	5.113121	4.497088
ENSG00000176623	4.754325	4.152320
ENSG00000085719	4.896950	4.088396
ENSG00000156103	4.411087	4.574623
ENSG00000104312	2.947507	3.909778
ENSG00000164823	4.466138	4.507525
ENSG00000104320	4.628594	4.677416
ENSG00000104325	5.012239	4.408960
ENSG00000104327	3.842140	3.906741
ENSG00000180694	3.222021	6.091998
ENSG00000123119	7.063639	5.429731
ENSG00000155099	4.916335	6.193093
ENSG00000253738	5.600003	4.008641
ENSG00000155100	3.563590	5.384403
ENSG00000079102	4.385418	4.250190
ENSG00000205133	4.763212	4.741747
ENSG00000188343	4.729153	5.005938
ENSG00000183808	2.893794	3.875078
ENSG00000164953	3.045150	3.291684
ENSG00000164951	6.742912	4.818003
ENSG00000164949	2.745422	4.291883
ENSG00000164944	4.619297	4.766284
ENSG00000156162	3.740315	4.017716
ENSG00000164941	3.790762	4.479878
ENSG00000156170	3.816485	2.831659
ENSG00000164938	2.936358	3.757061
ENSG00000175895	2.601578	3.744231
ENSG00000156172	2.316390	3.493105
ENSG00000156467	7.639367	6.650798
ENSG00000156469	3.442711	4.856184
ENSG00000156471	5.688951	5.542100
ENSG00000169439	5.411097	4.858860
ENSG00000104324	3.801226	3.631625
ENSG00000180543	5.070135	4.071272
ENSG00000147649	5.590715	5.427116
ENSG00000104341	5.567869	4.257319
ENSG00000132561	3.674212	4.298841
ENSG00000156482	6.780539	4.946274
ENSG00000132541	5.398295	4.203905
ENSG00000104356	2.428197	4.231850
ENSG00000104361	5.506226	4.792883
ENSG00000104375	2.616646	3.357603
ENSG00000156486	3.465963	4.999737
ENSG00000272321	3.554214	3.743920
ENSG00000253948	2.174449	3.626734
ENSG00000132549	4.639647	3.762614
ENSG00000164919	7.188156	6.270087
ENSG00000147669	5.454581	4.375976
ENSG00000104450	2.909581	3.048546
ENSG00000034677	5.571406	4.439529
ENSG00000186106	5.971579	5.342945
ENSG00000070756	6.702300	4.673057
ENSG00000164924	9.335699	5.510284
ENSG00000261087	4.900416	4.586438
ENSG00000120963	6.192833	4.948918
ENSG00000104490	7.497877	5.449640
ENSG00000048392	4.987465	4.109833
ENSG00000246263	2.275618	3.900886
ENSG00000104517	5.904748	5.765660
ENSG00000155090	3.724817	4.830775
ENSG00000155096	7.069036	4.292453
ENSG00000155097	7.267994	5.552371
ENSG00000164929	8.091108	8.103791
ENSG00000247081	2.430279	3.500918
ENSG00000164930	2.810354	3.829556
ENSG00000164933	4.206153	4.892208
ENSG00000164934	3.538146	4.886946
ENSG00000176406	6.696889	4.835553
ENSG00000279138	2.002576	3.821973
ENSG00000147650	4.121234	4.584366
ENSG00000169946	3.810054	4.213944
ENSG00000164830	6.881498	6.048442
ENSG00000147655	4.435332	4.000327
ENSG00000104408	6.074255	4.829983
ENSG00000104412	4.936227	4.898437
ENSG00000120526	3.200684	4.193003
ENSG00000120533	4.998943	4.747531
ENSG00000147654	4.394773	4.074973
ENSG00000147642	6.791725	5.399209
ENSG00000164794	5.209081	5.503519
ENSG00000164796	3.797255	4.776773
ENSG00000104447	3.733084	3.600021
ENSG00000147677	6.379130	4.431252
ENSG00000147679	3.109122	3.836892
ENSG00000164754	7.064609	5.913516
ENSG00000164758	2.450144	3.638302
ENSG00000182197	3.806851	5.246666
ENSG00000177570	4.804273	4.768573
ENSG00000147676	5.748945	4.157874
ENSG00000136999	3.921112	4.149978
ENSG00000136960	5.497140	4.796563
ENSG00000064313	3.776461	4.135230
ENSG00000155792	3.261670	4.435796
ENSG00000172172	3.629403	2.945548
ENSG00000172167	2.036403	3.156988
ENSG00000172164	3.113739	5.213416
ENSG00000178764	4.388731	4.245254
ENSG00000136986	4.651337	4.502433
ENSG00000156787	2.845856	4.369324
ENSG00000189376	3.345915	3.967329
ENSG00000165156	5.533732	4.798940
ENSG00000156802	3.625874	3.637086
ENSG00000156795	3.300223	3.658726
ENSG00000156804	5.046698	5.338227
ENSG00000176853	4.657941	4.072794
ENSG00000164983	5.373852	4.258159
ENSG00000183665	2.823693	3.757626
ENSG00000170881	4.254329	4.782073
ENSG00000147687	3.371329	5.223977
ENSG00000147684	6.909249	5.756824
ENSG00000170873	5.299660	5.225181
ENSG00000104549	4.668482	4.493142
ENSG00000164961	4.532786	4.723145
ENSG00000156831	2.983477	4.696426
ENSG00000173334	3.840476	4.234530
ENSG00000168672	3.115620	3.813827
ENSG00000136997	2.067627	3.723142
ENSG00000153310	6.238795	6.228342
ENSG00000153317	5.723440	3.714878
ENSG00000155897	3.917494	3.980489
ENSG00000132294	6.648580	6.132488
ENSG00000184156	6.723257	5.282609
ENSG00000129295	3.001801	3.294591
ENSG00000129292	4.910485	4.977864
ENSG00000155926	2.323940	4.883921
ENSG00000104419	7.566900	4.926947
ENSG00000008513	4.811897	4.694738
ENSG00000066827	2.665178	4.590548
ENSG00000131773	5.984486	5.234645
ENSG00000147724	4.349051	4.754189
ENSG00000169427	3.425411	4.479916
ENSG00000167632	5.232184	4.995998
ENSG00000282164	4.513424	4.285519
ENSG00000259891	3.143293	4.816912
ENSG00000104472	3.046004	3.767468
ENSG00000123908	5.259996	5.408286
ENSG00000169398	6.927476	5.067367
ENSG00000105339	5.796878	5.608787
ENSG00000022567	5.675966	5.021884
ENSG00000184489	4.681512	4.049991
ENSG00000171045	4.045373	4.352418
ENSG00000181790	7.208456	6.490116
ENSG00000198576	4.977566	4.694800
ENSG00000234616	4.507666	4.371276
ENSG00000130193	4.532196	4.200414
ENSG00000180155	8.217017	5.824784
ENSG00000247317	2.261684	6.719306
ENSG00000160932	6.926035	6.065091
ENSG00000176956	6.862681	5.469854
ENSG00000277494	2.894226	5.292081
ENSG00000181638	4.339862	4.183651
ENSG00000250571	4.227199	4.395450
ENSG00000253716	2.099053	3.956857
ENSG00000185730	3.052879	5.017533
ENSG00000184428	2.901115	4.194363
ENSG00000158106	5.725808	4.599390
ENSG00000014164	4.180039	4.224751
ENSG00000104518	3.030531	4.120367
ENSG00000204839	2.175259	2.609187
ENSG00000147813	3.478501	3.755617
ENSG00000104529	5.525125	4.467665
ENSG00000179886	3.254582	4.600551
ENSG00000104524	4.217693	4.230405
ENSG00000104522	4.456607	5.013274
ENSG00000183309	4.649917	4.602786
ENSG00000181135	2.984903	3.633016
ENSG00000180921	3.510719	3.786135
ENSG00000180900	6.468781	4.621205
ENSG00000179950	6.556900	5.818625
ENSG00000185189	6.736607	6.728270
ENSG00000178209	8.180559	5.292477
ENSG00000178685	4.198198	3.773228
ENSG00000178719	7.843303	6.717839
ENSG00000178814	3.314444	3.981476
ENSG00000178896	3.295900	3.830825
ENSG00000197858	6.005283	4.315222
ENSG00000179091	6.308594	5.379294
ENSG00000179526	4.967940	3.879899
ENSG00000179632	5.824789	4.870497
ENSG00000179698	2.688038	4.221541
ENSG00000235173	3.504304	3.601873
ENSG00000179832	6.026894	4.877166
ENSG00000261236	5.221975	5.257606
ENSG00000185122	5.656008	5.848758
ENSG00000185000	5.028732	4.780563
ENSG00000261678	6.656056	7.059386
ENSG00000185803	4.114090	5.292141
ENSG00000182325	3.528879	4.673288
ENSG00000173137	3.533501	4.872084
ENSG00000071894	5.908838	4.516569
ENSG00000147804	3.100917	3.500146
ENSG00000160948	6.343224	5.501998
ENSG00000160949	2.868110	3.408589
ENSG00000187954	5.450322	5.173331
ENSG00000167702	7.420081	4.919426
ENSG00000160972	5.443719	4.093729
ENSG00000167701	2.549284	4.987962
ENSG00000167700	4.626810	3.903668
ENSG00000160957	3.399888	3.559985
ENSG00000160959	4.898128	3.332209
ENSG00000213563	3.772479	4.864403
ENSG00000147799	5.409000	4.061148
ENSG00000198169	4.168775	4.747956
ENSG00000196378	3.143629	4.206047
ENSG00000161016	8.104966	5.747705
ENSG00000197363	4.148541	3.845849
ENSG00000147789	3.778545	3.768475
ENSG00000170619	3.932336	4.802595
ENSG00000196150	3.322393	3.804182
ENSG00000170631	2.605149	3.779133
ENSG00000196922	4.324694	2.666539
ENSG00000172785	2.737677	4.185525
ENSG00000107099	2.061372	2.822579
ENSG00000107104	5.548776	3.253367
ENSG00000080503	7.382331	4.436421
ENSG00000147852	4.206266	5.294841
ENSG00000080608	2.702750	4.315156
ENSG00000080298	4.564091	5.040323
ENSG00000107249	3.282768	4.594304
ENSG00000106688	5.129692	4.853880
ENSG00000205808	3.112500	4.002573
ENSG00000106993	4.922966	4.869737
ENSG00000147853	5.759741	5.806035
ENSG00000120158	2.786273	3.683554
ENSG00000096968	3.587780	4.797046
ENSG00000107020	2.424804	3.467965
ENSG00000107036	3.786447	4.257704
ENSG00000099219	4.778009	4.647750
ENSG00000183354	5.105537	4.639503
ENSG00000137040	5.147834	4.112423
ENSG00000137033	3.574735	4.117501
ENSG00000147854	4.624361	4.516161
ENSG00000178445	4.287190	3.652825
ENSG00000107077	4.235972	4.184194
ENSG00000137038	5.005356	4.084586
ENSG00000153707	6.682978	5.814169
ENSG00000225706	2.223467	5.054550
ENSG00000153714	2.391690	2.931698
ENSG00000107186	5.781177	5.136480
ENSG00000147862	5.675069	4.244931
ENSG00000272871	2.436164	3.529880
ENSG00000175893	5.392082	4.718803
ENSG00000164946	2.095265	4.327965
ENSG00000155158	4.299368	3.664489
ENSG00000164975	5.148202	4.939384
ENSG00000164985	7.218272	6.539646
ENSG00000164989	2.536652	3.099540
ENSG00000044459	2.191165	3.919799
ENSG00000107295	7.575653	6.050263
ENSG00000155876	6.529763	6.196235
ENSG00000147874	3.838741	4.288589
ENSG00000147872	3.518313	4.668842
ENSG00000137145	3.738157	4.558586
ENSG00000137154	8.486696	6.198253
ENSG00000260912	2.760270	3.528876
ENSG00000155886	7.042789	4.463617
ENSG00000171843	4.291811	4.881797
ENSG00000188352	5.673575	4.682476
ENSG00000188921	2.321351	2.997001
ENSG00000198642	4.801292	5.391807
ENSG00000099810	3.737168	3.097165
ENSG00000107105	5.684231	5.327120
ENSG00000198680	3.993591	3.505972
ENSG00000120159	3.433858	4.148376
ENSG00000137055	4.266842	4.449530
ENSG00000096872	2.682907	4.297844
ENSG00000120156	3.906898	4.566560
ENSG00000120162	4.068397	5.654001
ENSG00000147894	4.827751	5.144003
ENSG00000260412	3.116197	4.349423
ENSG00000174482	2.325775	4.736594
ENSG00000122729	4.886810	4.520057
